Brand,Generic,Class,Treatment,Schedule
Armour Thyroid,Thyroid Extract,Thyroid Hormone,Hypothyroidism,NCLM
Tricor,Fenofibrate,Fibric Acid Derivative,Cholesterol Lowering,NCLM
Aleve,Naproxen,NSAID,Pain/Inflammation Relief,OTC & NCLM (strength)
Lyrica,Pregabalin,Anticonvulsant,"Neuropathic Pain, Seizures",V
"Humulin R, Novolin R",Insulin Regular,Short Acting Insulin,Diabetes Agent,NCLM
Symbicort,Budesonide/Formoterol,Inhaled Corticosteroid/Long-Acting Beta-Agonist,Asthma Treatment ,NCLM
"Dyazide, Maxzide",Triamterene/HCTZ,Potassium Sparing Diuretic/Thiazide,Antihypertensive,NCLM
Keflex,Cephalexin,Cephalosporin Antibiotic,Bacterial Infection,NCLM
Kenalog,Triamcinolone,Corticosteroid,Anti-Inflammatory,NCLM
Lotensin,Benazepril,ACEi,Antihypertensive,NCLM
Apresoline,Hydralazine,Vasodilator,"Angina, Heart Failure",NCLM
Tenex,Guanfacine,Alpha-2 Agonist,"ADHD, Antihypertensive",NCLM
AndroGel,Testosterone,Male Hormone Therapy,Hormone Therapy,III
Diovan HCT,Valsartan/HCTZ,ARB/Thiazide Diuretic,Antihypertensive,NCLM
Valium,Diazepam,Benzodiazepine,"Sedative, Anti-Anxiety",CIV
"Amethia, Amethyst",Ethinyl Estradiol/Levonorgestrel,Oral Contraceptive,"Pregnancy Prevention, Hormone Regulation",NCLM
Cardizem,Diltiazem,Calcium Channel Blocker,Antihypertensive,NCLM
Seroquel,Quetiapine Fumarate ,Antipsychotic,Mood Disorders ,NCLM
Topamax,Topiramate,Anticonvulsant,"Seizures, Migraines ",NCLM
Neosporin,Bacitracin/Neomycin/Polymyxin B ,Triple Antibiotic ,Bacterial Infection ,OTC
Catapres,Clonidine,Alpha-2 Agonist ,Antihypertensive,NCLM
Celebrex,Celecoxib,COX-2 Selective NSAID ,Pain/Inflammation Relief ,NCLM
Cipro,Ciprofloxacin,Fluoroquinolone Antibiotic ,Bacterial Infection,NCLM
Requip,Ropinirole,Dopamine Agonist ,Parkinson's Treatment ,NCLM
Xarelto,Rivaroxaban,Factor Xa Inhibitor ,"Anticoagulant, Blood Thinner ",NCLM
Keppra,Levetiracetam,Anti-Convulsant ,Seizures,NCLM
Cleocin,Clindamycin,Lincomycin Antibiotic,Bacterial Infection,NCLM
Lopid,Gemfibrozil,Fibrate Derivative,Cholesterol Lowering,NCLM
Janumet,Metformin/Sitagliptin,Biguanide/DPP-4 Inhibitor,Diabetes Agent,NCLM
Lioresal,Baclofen,Muscle Relaxant,Muscle Relaxant,NCLM
"Camila, Heather",Norethindrone,Oral Contraceptive,"Pregnancy Prevention, Hormone Regulation",NCLM
Buspar,Buspirone,Antianxiety,Anxiety,NCLM
Xalatan,Latanoprost,Prostaglandin Analog,Glaucoma Treatment ,NCLM
Spiriva,Tiotropium,Anticholinergics,"Bronchodilator, Asthma Treatment",NCLM
Zofran,Ondansetron,5HT3 Antagonist,Nausea/Vomiting,NCLM
Mevacor,Lovastatin,HMG-CoA Reductase Inhibitor,Cholesterol Lowering,NCLM
Imdur,Isosorbide Mononitrate,Nitrate,"Angina, Heart Failure",NCLM
Abilify,Aripiprazole,Anti-Psychotic,Mood Disorders ,NCLM
Doryx,Doxycycline,Tetracycline Antibiotic,Bacterial Infections,NCLM
Levemir,Insulin Detemir,Long-Acting Insulin,Diabetes Agent,NCLM
Pepcid,Famotidine,H2RA,Acid-Reflux/GERD,OTC
Restoril,Temazepam,Benzodiazepine,"Sedative, Anti-Anxiety",IV
Nitro-STAT,Nitroglycerin,Nitrate Derivative,"Angina, Heart Failure",NCLM
Bystolic,Nebivolol,Beta-Blocker,Antihypertensive,NCLM
Verelan,Verapamil,Calcium Channel Blocker,Antihypertensive,NCLM
Timoptic,Timolol,Beta-Blocker,Glaucoma,NCLM
Diovan,Valsartan,ARB,Antihypertensive,NCLM
Proscar,Finasteride,5-Alpha Reductase Inhibitor ,Enlarged Prostate ,NCLM
Elavil,Amitriptyline,Tri-Cyclic Antidepressant ,"Depression, Sleep ",NCLM
Nexium,Esomeprazole,PPI,Acid-Reflux/GERD ,OTC & NCLM (strength) 
Zanaflex,Tizanidine,Muscle Relaxant ,Muscle Relaxant ,NCLM
